benchmark,nTasks,init_sum,run_sum,final_sum,duration_sum,scenario
hpccrandomringbw,16,736.0,2944.0,0.0,3841.836886012001,none
hpccdgemm,16,906.0,7072.0,2.0,8132.562382270001,none
hpccstream,16,624.0,1459.0,0.0,2229.608198627,none
minife,16,1106.0,4243.0,0.0,5498.869401891,none
hpccfft,16,863.0,923.0,0.0,1928.536177005,none
hpccrandomringbw,16,670.0,1728.0,0.0,2555.071396478,cpumem
hpccdgemm,16,693.0,4735.0,0.0,5566.539913772001,cpumem
hpccstream,16,473.0,1764.0,0.0,2377.70090677,cpumem
minife,16,822.0,4550.0,0.0,5525.6032152610005,cpumem
hpccfft,16,569.0,945.0000000000001,0.0,1646.7550810600003,cpumem
hpccrandomringbw,16,661.0,1757.0,0.0,2571.653336908,cpumem-scale
hpccdgemm,16,421.0,4701.0,0.0,5271.695755846,cpumem-scale
hpccstream,16,389.0,1004.0,1.0,1552.2883437490002,cpumem-scale
minife,16,578.0,3406.0,1.0,4153.184894254,cpumem-scale
hpccfft,16,382.0,940.0000000000001,0.0,1466.793407617,cpumem-scale
hpccrandomringbw,16,669.0,1756.0,0.0,2572.561151957,cpumem-granularity
hpccdgemm,16,452.0,4070.0,2.0,4697.35854517,cpumem-granularity
hpccstream,16,367.0,1005.0,2.0,1544.1787895900002,cpumem-granularity
minife,16,582.0,3436.0,0.0,4185.615548341,cpumem-granularity
hpccfft,16,368.0,947.0000000000001,0.0,1457.53695321,cpumem-granularity
